symbol,earnings_date,eps_estimate,reported_eps,surprise
AAPL,2025-07-30,-,-,-
AAPL,2025-04-30,-,-,-
AAPL,2025-01-30,-,-,-
AAPL,2024-10-31,1.55,-,-
AAPL,2024-08-01,1.35,1.4,+3.99
AAPL,2024-05-02,1.5,1.53,+1.97
AAPL,2024-02-01,2.1,2.18,+3.9
AAPL,2023-11-02,1.39,1.46,+4.92
AAPL,2023-08-03,1.19,1.26,+5.49
AAPL,2023-05-04,1.43,1.52,+6.03
AAPL,2023-02-02,1.94,1.88,-2.88
AAPL,2022-10-27,1.27,1.29,+1.55
AAPL,2022-07-28,1.16,1.2,+3.25
AAPL,2022-04-28,1.43,1.52,+6.44
AAPL,2022-01-27,1.89,2.1,+11.17
AAPL,2021-10-28,1.24,1.24,+0.3
AAPL,2021-07-27,1.01,1.3,+29.12
AAPL,2021-04-28,0.99,1.4,+41.89
AAPL,2021-01-27,1.41,1.68,+19.02
AAPL,2020-10-29,0.7,0.73,+4.25
AAPL,2020-07-30,0.51,0.65,+26.25
AAPL,2020-04-30,0.57,0.64,+12.78
AAPL,2020-01-28,1.14,1.25,+9.73
AAPL,2019-10-30,0.71,0.76,+6.71
AAPL,2019-07-30,0.52,0.55,+3.9
AAPL,2019-04-30,0.59,0.62,+4.18
AAPL,2019-01-29,1.04,1.05,+0.31
AAPL,2018-11-01,0.7,0.73,+4.56
AAPL,2018-07-31,0.55,0.59,+7.27
AAPL,2018-05-01,0.67,0.68,+2.14
AAPL,2018-02-01,0.96,0.97,+0.87
AAPL,2017-11-02,0.47,0.52,+10.85
AAPL,2017-08-01,0.39,0.42,+6.27
AAPL,2017-05-02,0.5,0.53,+3.97
AAPL,2017-01-31,0.8,0.84,+4.55
AAPL,2016-10-25,0.41,0.42,+0.84
AAPL,2016-07-26,0.35,0.36,+2.6
AAPL,2016-04-26,0.5,0.48,-4.89
AAPL,2016-01-26,0.81,0.82,+1.63
AAPL,2015-10-27,0.47,0.49,+4.26
AAPL,2015-07-21,0.45,0.46,+2.13
AAPL,2015-04-27,0.54,0.58,+7.93
AAPL,2015-01-27,0.65,0.77,+17.52
AAPL,2014-10-20,0.33,0.36,+8.8
AAPL,2014-07-22,0.31,0.32,+3.98
AAPL,2014-04-23,0.36,0.42,+13.99
AAPL,2014-01-27,0.5,0.52,+3.08
AAPL,2013-10-28,0.28,0.3,+3.82
AAPL,2013-07-23,0.26,0.27,+2.05
AAPL,2013-04-23,0.36,0.36,+0.88
AAPL,2013-01-23,0.48,0.49,+2.52
AAPL,2012-10-25,0.31,0.31,-0.92
AAPL,2012-07-24,0.37,0.33,-10.12
AAPL,2012-04-24,0.36,0.44,+22.56
AAPL,2012-01-24,0.36,0.5,+36.46
AAPL,2011-10-18,0.26,0.25,-4.54
AAPL,2011-07-19,0.21,0.28,+33.58
AAPL,2011-04-20,0.19,0.23,+19.09
AAPL,2011-01-18,0.19,0.23,+19.03
AAPL,2010-10-18,0.15,0.17,+13.65
AAPL,2010-07-20,0.11,0.13,+12.68
AAPL,2010-04-20,0.09,0.12,+36.11
AAPL,2010-01-25,0.07,0.13,+76
AAPL,2009-10-19,0.05,0.07,+27.8
AAPL,2009-07-21,0.04,0.05,+15.03
AAPL,2009-04-22,0.04,0.05,+22.05
AAPL,2009-01-21,0.05,0.06,+28.27
AAPL,2008-10-21,0.04,0.05,+13.29
AAPL,2008-07-21,0.04,0.04,+10.39
AAPL,2008-04-23,0.04,0.04,+8.12
AAPL,2008-01-22,0.06,0.06,+8.87
AAPL,2007-10-22,0.03,0.04,+17.88
AAPL,2007-07-25,0.03,0.03,+27.07
AAPL,2007-04-25,0.02,0.03,+35.91
AAPL,2007-01-17,0.03,0.04,+45.34
AAPL,2006-10-18,0.02,0.02,+22.52
AAPL,2006-07-19,0.02,0.02,+22.87
AAPL,2006-04-19,0.02,0.02,+8.25
AAPL,2006-01-18,0.02,0.02,+7.06
AAPL,2005-10-11,0.01,0.01,+2.11
AAPL,2005-07-13,0.01,0.01,+17.95
AAPL,2005-04-13,0.01,0.01,+39.7
AAPL,2005-01-12,0.01,0.01,+43.84
AAPL,2004-10-13,-,-,+47.4
AAPL,2004-07-14,-,-,+15.15
AAPL,2004-04-14,-,-,+46.2
AAPL,2004-01-14,-,-,+9.58
AAPL,2003-10-15,-,-,+20.17
AAPL,2003-07-16,-,-,+61.82
AAPL,2003-04-16,-,-,+97.22
AAPL,2003-01-15,-,-,-47.06
AAPL,2002-10-16,-,-,-66.67
AAPL,2002-07-16,-,-,+3.21
AAPL,2002-01-16,-,-,+2.08
AAPL,2001-04-18,-,-,+931.58
AAPL,2000-10-18,0.01,0.01,-3.94
AAPL,2000-07-18,0.01,0.01,+3.08
AAPL,2000-04-19,0.01,0.01,+9.62
AAPL,2000-01-19,0.01,0.01,+11.21
AAPL,1999-10-13,-,-,+12.62
ABBV,2025-07-23,-,-,-
ABBV,2025-04-24,-,-,-
ABBV,2025-01-31,-,-,-
ABBV,2024-10-30,2.93,-,-
ABBV,2024-07-25,2.57,2.65,+3.3
ABBV,2024-04-26,2.23,2.31,+3.76
ABBV,2024-02-02,2.77,2.79,+0.84
ABBV,2023-10-27,2.86,2.95,+3.25
ABBV,2023-07-27,2.81,2.91,+3.69
ABBV,2023-04-27,2.46,2.46,+0.11
ABBV,2023-02-09,3.56,3.6,+1.15
ABBV,2022-10-28,3.57,3.66,+2.43
ABBV,2022-07-29,3.31,3.37,+1.69
ABBV,2022-04-29,3.14,3.24,+3.13
ABBV,2022-02-02,3.29,3.31,+0.74
ABBV,2021-10-29,3.22,3.33,+3.32
ABBV,2021-07-30,3.09,3.09,-
ABBV,2021-04-30,2.83,2.95,+4.29
ABBV,2021-02-03,2.85,2.92,+2.42
ABBV,2020-10-30,2.77,2.83,+2.35
ABBV,2020-07-31,2.19,2.34,+6.89
ABBV,2020-05-01,2.25,2.42,+7.74
ABBV,2020-02-07,2.19,2.21,+0.83
ABBV,2019-11-01,2.3,2.33,+1.45
ABBV,2019-07-26,2.21,2.26,+2.21
ABBV,2019-04-25,2.05,2.14,+4.18
ABBV,2019-01-25,1.94,1.9,-1.95
ABBV,2018-11-02,2.02,2.14,+6.18
ABBV,2018-07-27,1.97,2,+1.36
ABBV,2018-04-26,1.79,1.87,+4.3
ABBV,2018-01-26,1.44,1.48,+2.9
ABBV,2017-10-27,1.38,1.41,+1.81
ABBV,2017-07-28,1.4,1.42,+1.53
ABBV,2017-04-27,1.26,1.28,+1.44
ABBV,2017-01-27,1.2,1.2,+0.39
ABBV,2016-10-28,1.2,1.21,+1.05
ABBV,2016-07-29,1.2,1.26,+4.98
ABBV,2016-04-28,1.13,1.15,+1.51
ABBV,2016-01-29,1.12,1.13,+0.76
ABBV,2015-10-30,1.08,1.13,+4.75
ABBV,2015-07-24,1.06,1.08,+1.96
ABBV,2015-04-23,0.85,0.94,+10.2
ABBV,2015-01-30,0.86,0.89,+3.94
ABBV,2014-10-31,0.77,0.89,+15.19
ABBV,2014-07-25,0.76,0.82,+8.18
ABBV,2014-04-25,0.68,0.71,+4.41
ABBV,2014-01-31,0.82,0.82,-0.46
ABBV,2013-10-25,0.78,0.82,+5.67
ABBV,2013-07-26,0.79,0.82,+4.16
ABBV,2013-04-26,0.67,0.68,+2.1
ABBV,2013-01-23,0.99,-,-
ABNB,2025-08-04,-,-,-
ABNB,2025-05-06,-,-,-
ABNB,2025-02-11,-,-,-
ABNB,2024-10-30,2.16,-,-
ABNB,2024-08-06,0.92,0.86,-6.16
ABNB,2024-05-08,0.24,0.41,+68.65
ABNB,2024-02-13,0.62,0.76,+22.32
ABNB,2023-11-01,2.1,2.43,+15.74
ABNB,2023-08-03,0.78,0.98,+26.3
ABNB,2023-05-09,0.09,0.18,+108.09
ABNB,2023-02-14,0.25,0.48,+91.04
ABNB,2022-11-01,1.47,1.79,+21.83
ABNB,2022-08-02,0.43,0.56,+31.2
ABNB,2022-05-03,-0.29,-0.03,+89.72
ABNB,2022-02-15,0.03,0.08,+139.81
ABNB,2021-11-04,0.75,1.22,+62.02
ABNB,2021-08-12,-0.47,-0.11,+76.82
ABNB,2021-05-13,-1.17,-1.12,+4.61
ABNB,2021-02-25,-9.16,-10.84,-18.36
ABNB,2020-11-16,-,-,-
ABT,2025-07-16,-,-,-
ABT,2025-04-15,-,-,-
ABT,2025-01-22,-,-,-
ABT,2024-10-16,1.2,-,-
ABT,2024-07-18,1.1,1.14,+3.24
ABT,2024-04-17,0.95,0.98,+2.63
ABT,2024-01-24,1.19,1.19,+0.1
ABT,2023-10-18,1.1,1.14,+3.85
ABT,2023-07-20,1.05,1.08,+2.89
ABT,2023-04-19,0.99,1.03,+4.27
ABT,2023-01-25,0.92,1.03,+12.23
ABT,2022-10-19,0.94,1.15,+21.81
ABT,2022-07-20,1.13,1.43,+26.85
ABT,2022-04-20,1.47,1.73,+18.08
ABT,2022-01-26,1.21,1.32,+9.45
ABT,2021-10-20,0.95,1.4,+48.12
ABT,2021-07-22,1.02,1.17,+14.97
ABT,2021-04-20,1.27,1.32,+3.62
ABT,2021-01-27,1.35,1.45,+7.2
ABT,2020-10-21,0.91,0.98,+7.95
ABT,2020-07-16,0.42,0.57,+34.56
