symbol,earnings_date,eps_estimate,reported_eps,surprise
AAPL,"Jul 30, 2025, 6 AMEDT",-,-,-
AAPL,"Apr 30, 2025, 6 AMEDT",-,-,-
AAPL,"Jan 30, 2025, 4 PMEST",-,-,-
AAPL,"Oct 31, 2024, 4 PMEDT",1.55,-,-
AAPL,"Aug 01, 2024, 4 PMEDT",1.35,1.4,+3.99
AAPL,"May 02, 2024, 4 PMEDT",1.5,1.53,+1.97
AAPL,"Feb 01, 2024, 4 PMEST",2.1,2.18,+3.9
AAPL,"Nov 02, 2023, 4 PMEDT",1.39,1.46,+4.92
AAPL,"Aug 03, 2023, 4 PMEDT",1.19,1.26,+5.49
AAPL,"May 04, 2023, 4 PMEDT",1.43,1.52,+6.03
AAPL,"Feb 02, 2023, 4 PMEST",1.94,1.88,-2.88
AAPL,"Oct 27, 2022, 4 PMEDT",1.27,1.29,+1.55
AAPL,"Jul 28, 2022, 4 PMEDT",1.16,1.2,+3.25
AAPL,"Apr 28, 2022, 4 PMEDT",1.43,1.52,+6.44
AAPL,"Jan 27, 2022, 4 PMEST",1.89,2.1,+11.17
AAPL,"Oct 28, 2021, 4 PMEDT",1.24,1.24,+0.3
AAPL,"Jul 27, 2021, 4 PMEDT",1.01,1.3,+29.12
AAPL,"Apr 28, 2021, 4 PMEDT",0.99,1.4,+41.89
AAPL,"Jan 27, 2021, 4 PMEST",1.41,1.68,+19.02
AAPL,"Oct 29, 2020, 4 PMEDT",0.7,0.73,+4.25
AAPL,"Jul 30, 2020, 4 PMEDT",0.51,0.65,+26.25
AAPL,"Apr 30, 2020, 4 PMEDT",0.57,0.64,+12.78
AAPL,"Jan 28, 2020, 4 PMEST",1.14,1.25,+9.73
AAPL,"Oct 30, 2019, 4 PMEDT",0.71,0.76,+6.71
AAPL,"Jul 30, 2019, 4 PMEDT",0.52,0.55,+3.9
AAPL,"Apr 30, 2019, 4 PMEDT",0.59,0.62,+4.18
AAPL,"Jan 29, 2019, 4 PMEST",1.04,1.05,+0.31
AAPL,"Nov 01, 2018, 4 PMEDT",0.7,0.73,+4.56
AAPL,"Jul 31, 2018, 4 PMEDT",0.55,0.59,+7.27
AAPL,"May 01, 2018, 4 PMEDT",0.67,0.68,+2.14
AAPL,"Feb 01, 2018, 4 PMEST",0.96,0.97,+0.87
AAPL,"Nov 02, 2017, 4 PMEDT",0.47,0.52,+10.85
AAPL,"Aug 01, 2017, 4 PMEDT",0.39,0.42,+6.27
AAPL,"May 02, 2017, 4 PMEDT",0.5,0.53,+3.97
AAPL,"Jan 31, 2017, 4 PMEST",0.8,0.84,+4.55
AAPL,"Oct 25, 2016, 4 PMEDT",0.41,0.42,+0.84
AAPL,"Jul 26, 2016, 4 PMEDT",0.35,0.36,+2.6
AAPL,"Apr 26, 2016, 4 PMEDT",0.5,0.48,-4.89
AAPL,"Jan 26, 2016, 4 PMEST",0.81,0.82,+1.63
AAPL,"Oct 27, 2015, 4 PMEDT",0.47,0.49,+4.26
AAPL,"Jul 21, 2015, 4 PMEDT",0.45,0.46,+2.13
AAPL,"Apr 27, 2015, 4 PMEDT",0.54,0.58,+7.93
AAPL,"Jan 27, 2015, 4 PMEST",0.65,0.77,+17.52
AAPL,"Oct 20, 2014, 4 PMEDT",0.33,0.36,+8.8
AAPL,"Jul 22, 2014, 12 AMEDT",0.31,0.32,+3.98
AAPL,"Apr 23, 2014, 12 AMEDT",0.36,0.42,+13.99
AAPL,"Jan 27, 2014, 12 AMEST",0.5,0.52,+3.08
AAPL,"Oct 28, 2013, 12 AMEDT",0.28,0.3,+3.82
AAPL,"Jul 23, 2013, 12 AMEDT",0.26,0.27,+2.05
AAPL,"Apr 23, 2013, 12 AMEDT",0.36,0.36,+0.88
AAPL,"Jan 23, 2013, 12 AMEST",0.48,0.49,+2.52
AAPL,"Oct 25, 2012, 12 AMEDT",0.31,0.31,-0.92
AAPL,"Jul 24, 2012, 12 AMEDT",0.37,0.33,-10.12
AAPL,"Apr 24, 2012, 12 AMEDT",0.36,0.44,+22.56
AAPL,"Jan 24, 2012, 12 AMEST",0.36,0.5,+36.46
AAPL,"Oct 18, 2011, 12 AMEDT",0.26,0.25,-4.54
AAPL,"Jul 19, 2011, 12 AMEDT",0.21,0.28,+33.58
AAPL,"Apr 20, 2011, 12 AMEDT",0.19,0.23,+19.09
AAPL,"Jan 18, 2011, 12 AMEST",0.19,0.23,+19.03
AAPL,"Oct 18, 2010, 12 AMEDT",0.15,0.17,+13.65
AAPL,"Jul 20, 2010, 12 AMEDT",0.11,0.13,+12.68
AAPL,"Apr 20, 2010, 12 AMEDT",0.09,0.12,+36.11
AAPL,"Jan 25, 2010, 12 AMEST",0.07,0.13,+76
AAPL,"Oct 19, 2009, 12 AMEDT",0.05,0.07,+27.8
AAPL,"Jul 21, 2009, 12 AMEDT",0.04,0.05,+15.03
AAPL,"Apr 22, 2009, 12 AMEDT",0.04,0.05,+22.05
