symbol,earnings_date,eps_estimate,reported_eps,surprise,implied_volatility
AAPL,2025-07-30,-,-,-,no data available
AAPL,2025-04-30,-,-,-,no data available
AAPL,2025-01-30,-,-,-,no data available
AAPL,2024-10-31,1.55,-,-,no data available
AAPL,2024-08-01,1.35,1.4,+3.99,0.29874236
AAPL,2024-05-02,1.5,1.53,+1.97,0.27069211
AAPL,2024-02-01,2.1,2.18,+3.9,0.2427371
AAPL,2023-11-02,1.39,1.46,+4.92,0.24710259
AAPL,2023-08-03,1.19,1.26,+5.49,0.25127759
AAPL,2023-05-04,1.43,1.52,+6.03,0.29297992
AAPL,2023-02-02,1.94,1.88,-2.88,0.31134672
AAPL,2022-10-27,1.27,1.29,+1.55,0.41402304
AAPL,2022-07-28,1.16,1.2,+3.25,0.29952021
AAPL,2022-04-28,1.43,1.52,+6.44,0.37051101
AAPL,2022-01-27,1.89,2.1,+11.17,0.3933703
AAPL,2021-10-28,1.24,1.24,+0.3,0.22730708
AAPL,2021-07-27,1.01,1.3,+29.12,0.2766768
AAPL,2021-04-28,0.99,1.4,+41.89,0.28328059
AAPL,2021-01-27,1.41,1.68,+19.02,0.52800201
AAPL,2020-10-29,0.7,0.73,+4.25,0.44486721
AAPL,2020-07-30,0.51,0.65,+26.25,0.32293511
AAPL,2020-04-30,0.57,0.64,+12.78,0.36833621
AAPL,2020-01-28,1.14,1.25,+9.73,0.3216969
AAPL,2019-10-30,0.71,0.76,+6.71,0.29301167
AAPL,2019-07-30,0.52,0.55,+3.9,0.26115153
AAPL,2019-04-30,0.59,0.62,+4.18,0.28574114
AAPL,2019-01-29,1.04,1.05,+0.31,0.35658907
AAPL,2018-11-01,0.7,0.73,+4.56,0.34466731
AAPL,2018-07-31,0.55,0.59,+7.27,0.26594563
AAPL,2018-05-01,0.67,0.68,+2.14,0.27813725
AAPL,2018-02-01,0.96,0.97,+0.87,0.30891792
AAPL,2017-11-02,0.47,0.52,+10.85,0.27261292
AAPL,2017-08-01,0.39,0.42,+6.27,0.23959395
AAPL,2017-05-02,0.5,0.53,+3.97,0.20316195
AAPL,2017-01-31,0.8,0.84,+4.55,0.20628923
AAPL,2016-10-25,0.41,0.42,+0.84,0.24994413
AAPL,2016-07-26,0.35,0.36,+2.6,no data available
AAPL,2016-04-26,0.5,0.48,-4.89,no data available
AAPL,2016-01-26,0.81,0.82,+1.63,no data available
AAPL,2015-10-27,0.47,0.49,+4.26,no data available
AAPL,2015-07-21,0.45,0.46,+2.13,no data available
AAPL,2015-04-27,0.54,0.58,+7.93,no data available
AAPL,2015-01-27,0.65,0.77,+17.52,no data available
AAPL,2014-10-20,0.33,0.36,+8.8,no data available
AAPL,2014-07-22,0.31,0.32,+3.98,no data available
AAPL,2014-04-23,0.36,0.42,+13.99,no data available
AAPL,2014-01-27,0.5,0.52,+3.08,no data available
AAPL,2013-10-28,0.28,0.3,+3.82,no data available
AAPL,2013-07-23,0.26,0.27,+2.05,no data available
AAPL,2013-04-23,0.36,0.36,+0.88,no data available
AAPL,2013-01-23,0.48,0.49,+2.52,no data available
AAPL,2012-10-25,0.31,0.31,-0.92,no data available
AAPL,2012-07-24,0.37,0.33,-10.12,no data available
AAPL,2012-04-24,0.36,0.44,+22.56,no data available
AAPL,2012-01-24,0.36,0.5,+36.46,no data available
AAPL,2011-10-18,0.26,0.25,-4.54,no data available
AAPL,2011-07-19,0.21,0.28,+33.58,no data available
AAPL,2011-04-20,0.19,0.23,+19.09,no data available
AAPL,2011-01-18,0.19,0.23,+19.03,no data available
AAPL,2010-10-18,0.15,0.17,+13.65,no data available
AAPL,2010-07-20,0.11,0.13,+12.68,no data available
AAPL,2010-04-20,0.09,0.12,+36.11,no data available
AAPL,2010-01-25,0.07,0.13,+76,no data available
